playerId,Name,seasonId,teamAbbrev,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,pim,toi,games,ppg,gpg,apg,spg,positionCode,team_points,team_wins,std_ppg
8471699,Andrew Cogliano,20072008,EDM,18,27,45,1,1,7,5,3,98,1462,2,3,20,13.6619918699187,82,0.5487804878048781,0.21951219512195122,0.32926829268292684,1.1951219512195121,C,88,41,-0.019037022694230212
8478472,Mathieu Joseph,20182019,TBL,13,13,26,5,0,0,1,0,95,1146,0,2,26,11.358571428571429,70,0.37142857142857144,0.18571428571428572,0.18571428571428572,1.3571428571428572,RW,128,62,-0.04070030517967945
8478585,Derek Ryan,20162017,CAR,11,18,29,-8,4,8,3,0,73,1369,1,1,22,14.891542288557215,67,0.43283582089552236,0.16417910447761194,0.26865671641791045,1.0895522388059702,C,87,36,-0.05341052444038781
8480995,Pontus Holmberg,20222023,TOR,5,8,13,0,1,1,2,0,27,524,0,0,18,10.419819819819821,37,0.35135135135135137,0.13513513513513514,0.21621621621621623,0.7297297297297297,RW,111,50,-0.06429793440082984
8476432,Boone Jenner,20132014,CBJ,16,13,29,6,4,7,5,0,127,1336,0,0,45,14.07939814814815,72,0.4027777777777778,0.2222222222222222,0.18055555555555555,1.7638888888888888,C,93,43,-0.06488373306201829
8482667,William Eklund,20232024,SJS,8,11,19,-22,4,6,4,1,77,989,0,1,20,18.302836879432625,47,0.40425531914893614,0.1702127659574468,0.23404255319148937,1.6382978723404256,LW,30,13,-0.06644622120508543
8476480,Vladislav Namestnikov,20142015,TBL,9,7,16,1,1,2,3,0,46,697,0,0,13,11.995348837209301,43,0.37209302325581395,0.20930232558139536,0.16279069767441862,1.069767441860465,C,108,50,-0.0674349422622402
8476539,Jonathan Marchessault,20152016,TBL,7,11,18,-10,4,7,1,0,81,694,0,0,17,12.08925925925926,45,0.4,0.15555555555555556,0.24444444444444444,1.8,RW,97,46,-0.06902415884363076
8477406,Mattias Janmark,20152016,DAL,15,14,29,12,0,1,3,1,108,1437,1,1,16,14.172831050228309,73,0.3972602739726027,0.2054794520547945,0.1917808219178082,1.4794520547945205,C,109,50,-0.08026285152173682
8479941,Justin Danforth,20212022,CBJ,10,4,14,-5,0,1,1,0,72,792,0,0,10,12.571111111111112,45,0.3111111111111111,0.2222222222222222,0.08888888888888889,1.6,RW,81,37,-0.08984102674212384
8477500,Bo Horvat,20142015,VAN,13,12,25,-8,0,0,1,0,93,1245,1,1,16,12.263725490196078,68,0.36764705882352944,0.19117647058823528,0.17647058823529413,1.3676470588235294,C,101,48,-0.09418066259181763
